scenario,delta,temps_reduit,rayon_reduit,energie_reduite
sans_germe,1.2,0.0,0.0,0.0
sans_germe,1.2,0.1,0.0,0.0
sans_germe,1.2,0.2,0.0,0.0
sans_germe,1.2,0.3,0.0,0.0
sans_germe,1.2,0.4,0.0,0.0
sans_germe,1.2,0.5,0.0,0.0
sans_germe,1.2,0.6,0.0,0.0
sans_germe,1.2,0.7000000000000001,0.0,0.0
sans_germe,1.2,0.8,0.0,0.0
sans_germe,1.2,0.9,0.0,0.0
sans_germe,1.2,1.0,0.0,0.0
sans_germe,1.2,1.1,0.0,0.0
sans_germe,1.2,1.2,0.0,0.0
sans_germe,1.2,1.3,0.0,0.0
sans_germe,1.2,1.4000000000000001,0.0,0.0
sans_germe,1.2,1.5,0.0,0.0
sans_germe,1.2,1.6,0.0,0.0
sans_germe,1.2,1.7,0.0,0.0
sans_germe,1.2,1.8,0.0,0.0
sans_germe,1.2,1.9000000000000001,0.0,0.0
sans_germe,1.2,2.0,0.0,0.0
sans_germe,1.2,2.1,0.0,0.0
sans_germe,1.2,2.2,0.0,0.0
sans_germe,1.2,2.3000000000000003,0.0,0.0
sans_germe,1.2,2.4,0.0,0.0
sans_germe,1.2,2.5,0.0,0.0
sans_germe,1.2,2.6,0.0,0.0
sans_germe,1.2,2.7,0.0,0.0
sans_germe,1.2,2.8000000000000003,0.0,0.0
sans_germe,1.2,2.9,0.0,0.0
sans_germe,1.2,3.0,0.0,0.0
sans_germe,1.2,3.1,0.0,0.0
sans_germe,1.2,3.2,0.0,0.0
sans_germe,1.2,3.3000000000000003,0.0,0.0
sans_germe,1.2,3.4,0.0,0.0
sans_germe,1.2,3.5,0.0,0.0
sans_germe,1.2,3.6,0.0,0.0
sans_germe,1.2,3.7,0.0,0.0
sans_germe,1.2,3.8000000000000003,0.0,0.0
sans_germe,1.2,3.9,0.0,0.0
sans_germe,1.2,4.0,0.0,0.0
sans_germe,1.2,4.1,0.0,0.0
sans_germe,1.2,4.2,0.0,0.0
sans_germe,1.2,4.3,0.0,0.0
sans_germe,1.2,4.4,0.0,0.0
sans_germe,1.2,4.5,0.0,0.0
sans_germe,1.2,4.6000000000000005,0.0,0.0
sans_germe,1.2,4.7,0.0,0.0
sans_germe,1.2,4.8,0.0,0.0
sans_germe,1.2,4.9,0.0,0.0
sans_germe,1.2,5.0,0.0,0.0
sans_germe,1.2,5.1000000000000005,0.0,0.0
sans_germe,1.2,5.2,0.0,0.0
sans_germe,1.2,5.3,0.0,0.0
sans_germe,1.2,5.4,0.0,0.0
sans_germe,1.2,5.5,0.0,0.0
sans_germe,1.2,5.6000000000000005,0.0,0.0
sans_germe,1.2,5.7,0.0,0.0
sans_germe,1.2,5.8,0.0,0.0
sans_germe,1.2,5.9,0.0,0.0
sans_germe,1.2,6.0,0.0,0.0
sans_germe,1.2,6.1000000000000005,0.0,0.0
sans_germe,1.2,6.2,0.0,0.0
sans_germe,1.2,6.3,0.0,0.0
sans_germe,1.2,6.4,0.0,0.0
sans_germe,1.2,6.5,0.0,0.0
sans_germe,1.2,6.6000000000000005,0.0,0.0
sans_germe,1.2,6.7,0.0,0.0
sans_germe,1.2,6.8,0.0,0.0
sans_germe,1.2,6.9,0.0,0.0
sans_germe,1.2,7.0,0.0,0.0
sans_germe,1.2,7.1000000000000005,0.0,0.0
sans_germe,1.2,7.2,0.0,0.0
sans_germe,1.2,7.3,0.0,0.0
sans_germe,1.2,7.4,0.0,0.0
sans_germe,1.2,7.5,0.0,0.0
sans_germe,1.2,7.6000000000000005,0.0,0.0
sans_germe,1.2,7.7,0.0,0.0
sans_germe,1.2,7.8,0.0,0.0
sans_germe,1.2,7.9,0.0,0.0
sans_germe,1.2,8.0,0.0,0.0
sans_germe,1.2,8.1,0.0,0.0
sans_germe,1.2,8.2,0.0,0.0
sans_germe,1.2,8.3,0.0,0.0
sans_germe,1.2,8.4,0.0,0.0
sans_germe,1.2,8.5,0.0,0.0
sans_germe,1.2,8.6,0.0,0.0
sans_germe,1.2,8.700000000000001,0.0,0.0
sans_germe,1.2,8.8,0.0,0.0
sans_germe,1.2,8.9,0.0,0.0
sans_germe,1.2,9.0,0.0,0.0
sans_germe,1.2,9.1,0.0,0.0
sans_germe,1.2,9.200000000000001,0.0,0.0
sans_germe,1.2,9.3,0.0,0.0
sans_germe,1.2,9.4,0.0,0.0
sans_germe,1.2,9.5,0.0,0.0
sans_germe,1.2,9.6,0.0,0.0
sans_germe,1.2,9.700000000000001,0.0,0.0
sans_germe,1.2,9.8,0.0,0.0
sans_germe,1.2,9.9,0.0,0.0
sans_germe,1.2,10.0,0.0,0.0
sans_germe,1.2,10.1,0.0,0.0
sans_germe,1.2,10.200000000000001,0.0,0.0
sans_germe,1.2,10.3,0.0,0.0
sans_germe,1.2,10.4,0.0,0.0
sans_germe,1.2,10.5,0.0,0.0
sans_germe,1.2,10.6,0.0,0.0
sans_germe,1.2,10.700000000000001,0.0,0.0
sans_germe,1.2,10.8,0.0,0.0
sans_germe,1.2,10.9,0.0,0.0
sans_germe,1.2,11.0,0.0,0.0
sans_germe,1.2,11.1,0.0,0.0
sans_germe,1.2,11.200000000000001,0.0,0.0
sans_germe,1.2,11.3,0.0,0.0
sans_germe,1.2,11.4,0.0,0.0
sans_germe,1.2,11.5,0.0,0.0
sans_germe,1.2,11.6,0.0,0.0
sans_germe,1.2,11.700000000000001,0.0,0.0
sans_germe,1.2,11.8,0.0,0.0
sans_germe,1.2,11.9,0.0,0.0
sans_germe,1.2,12.0,0.0,0.0
sans_germe,1.2,12.1,0.0,0.0
sans_germe,1.2,12.200000000000001,0.0,0.0
sans_germe,1.2,12.3,0.0,0.0
sans_germe,1.2,12.4,0.0,0.0
sans_germe,1.2,12.5,0.0,0.0
sans_germe,1.2,12.6,0.0,0.0
sans_germe,1.2,12.700000000000001,0.0,0.0
sans_germe,1.2,12.8,0.0,0.0
sans_germe,1.2,12.9,0.0,0.0
sans_germe,1.2,13.0,0.0,0.0
sans_germe,1.2,13.1,0.0,0.0
sans_germe,1.2,13.200000000000001,0.0,0.0
sans_germe,1.2,13.3,0.0,0.0
sans_germe,1.2,13.4,0.0,0.0
sans_germe,1.2,13.5,0.0,0.0
sans_germe,1.2,13.6,0.0,0.0
sans_germe,1.2,13.700000000000001,0.0,0.0
sans_germe,1.2,13.8,0.0,0.0
sans_germe,1.2,13.9,0.0,0.0
sans_germe,1.2,14.0,0.0,0.0
sans_germe,1.2,14.1,0.0,0.0
sans_germe,1.2,14.200000000000001,0.0,0.0
sans_germe,1.2,14.3,0.0,0.0
sans_germe,1.2,14.4,0.0,0.0
sans_germe,1.2,14.5,0.0,0.0
sans_germe,1.2,14.6,0.0,0.0
sans_germe,1.2,14.700000000000001,0.0,0.0
sans_germe,1.2,14.8,0.0,0.0
sans_germe,1.2,14.9,0.0,0.0
sans_germe,1.2,15.0,0.0,0.0
sans_germe,1.2,15.1,0.0,0.0
sans_germe,1.2,15.200000000000001,0.0,0.0
sans_germe,1.2,15.3,0.0,0.0
sans_germe,1.2,15.4,0.0,0.0
sans_germe,1.2,15.5,0.0,0.0
sans_germe,1.2,15.6,0.0,0.0
sans_germe,1.2,15.700000000000001,0.0,0.0
sans_germe,1.2,15.8,0.0,0.0
sans_germe,1.2,15.9,0.0,0.0
sans_germe,1.2,16.0,0.0,0.0
sans_germe,1.2,16.1,0.0,0.0
sans_germe,1.2,16.2,0.0,0.0
sans_germe,1.2,16.3,0.0,0.0
sans_germe,1.2,16.4,0.0,0.0
sans_germe,1.2,16.5,0.0,0.0
sans_germe,1.2,16.6,0.0,0.0
sans_germe,1.2,16.7,0.0,0.0
sans_germe,1.2,16.8,0.0,0.0
sans_germe,1.2,16.9,0.0,0.0
sans_germe,1.2,17.0,0.0,0.0
sans_germe,1.2,17.1,0.0,0.0
sans_germe,1.2,17.2,0.0,0.0
sans_germe,1.2,17.3,0.0,0.0
sans_germe,1.2,17.400000000000002,0.0,0.0
sans_germe,1.2,17.5,0.0,0.0
sans_germe,1.2,17.6,0.0,0.0
sans_germe,1.2,17.7,0.0,0.0
sans_germe,1.2,17.8,0.0,0.0
sans_germe,1.2,17.900000000000002,0.0,0.0
sans_germe,1.2,18.0,0.0,0.0
sans_germe,1.2,18.1,0.0,0.0
sans_germe,1.2,18.2,0.0,0.0
sans_germe,1.2,18.3,0.0,0.0
sans_germe,1.2,18.400000000000002,0.0,0.0
sans_germe,1.2,18.5,0.0,0.0
sans_germe,1.2,18.6,0.0,0.0
sans_germe,1.2,18.7,0.0,0.0
sans_germe,1.2,18.8,0.0,0.0
sans_germe,1.2,18.900000000000002,0.0,0.0
sans_germe,1.2,19.0,0.0,0.0
sans_germe,1.2,19.1,0.0,0.0
sans_germe,1.2,19.2,0.0,0.0
sans_germe,1.2,19.3,0.0,0.0
sans_germe,1.2,19.400000000000002,0.0,0.0
sans_germe,1.2,19.5,0.0,0.0
sans_germe,1.2,19.6,0.0,0.0
sans_germe,1.2,19.7,0.0,0.0
sans_germe,1.2,19.8,0.0,0.0
sans_germe,1.2,19.900000000000002,0.0,0.0
sans_germe,1.2,20.0,0.0,0.0
sans_germe,1.2,20.1,0.0,0.0
sans_germe,1.2,20.2,0.0,0.0
sans_germe,1.2,20.3,0.0,0.0
sans_germe,1.2,20.400000000000002,0.0,0.0
sans_germe,1.2,20.5,0.0,0.0
sans_germe,1.2,20.6,0.0,0.0
sans_germe,1.2,20.7,0.0,0.0
sans_germe,1.2,20.8,0.0,0.0
sans_germe,1.2,20.900000000000002,0.0,0.0
sans_germe,1.2,21.0,0.0,0.0
sans_germe,1.2,21.1,0.0,0.0
sans_germe,1.2,21.2,0.0,0.0
sans_germe,1.2,21.3,0.0,0.0
sans_germe,1.2,21.400000000000002,0.0,0.0
sans_germe,1.2,21.5,0.0,0.0
sans_germe,1.2,21.6,0.0,0.0
sans_germe,1.2,21.7,0.0,0.0
sans_germe,1.2,21.8,0.0,0.0
sans_germe,1.2,21.900000000000002,0.0,0.0
sans_germe,1.2,22.0,0.0,0.0
sans_germe,1.2,22.1,0.0,0.0
sans_germe,1.2,22.2,0.0,0.0
sans_germe,1.2,22.3,0.0,0.0
sans_germe,1.2,22.400000000000002,0.0,0.0
sans_germe,1.2,22.5,0.0,0.0
sans_germe,1.2,22.6,0.0,0.0
sans_germe,1.2,22.7,0.0,0.0
sans_germe,1.2,22.8,0.0,0.0
sans_germe,1.2,22.900000000000002,0.0,0.0
sans_germe,1.2,23.0,0.0,0.0
sans_germe,1.2,23.1,0.0,0.0
sans_germe,1.2,23.2,0.0,0.0
sans_germe,1.2,23.3,0.0,0.0
sans_germe,1.2,23.400000000000002,0.0,0.0
sans_germe,1.2,23.5,0.0,0.0
sans_germe,1.2,23.6,0.0,0.0
sans_germe,1.2,23.7,0.0,0.0
sans_germe,1.2,23.8,0.0,0.0
sans_germe,1.2,23.900000000000002,0.0,0.0
sans_germe,1.2,24.0,0.0,0.0
sans_germe,1.2,24.1,0.0,0.0
sans_germe,1.2,24.2,0.0,0.0
sans_germe,1.2,24.3,0.0,0.0
sans_germe,1.2,24.400000000000002,0.0,0.0
sans_germe,1.2,24.5,0.0,0.0
sans_germe,1.2,24.6,0.0,0.0
sans_germe,1.2,24.7,0.0,0.0
sans_germe,1.2,24.8,0.0,0.0
sans_germe,1.2,24.900000000000002,0.0,0.0
sans_germe,1.2,25.0,0.0,0.0
sans_germe,1.2,25.1,0.0,0.0
sans_germe,1.2,25.2,0.0,0.0
sans_germe,1.2,25.3,0.0,0.0
sans_germe,1.2,25.400000000000002,0.0,0.0
sans_germe,1.2,25.5,0.0,0.0
sans_germe,1.2,25.6,0.0,0.0
sans_germe,1.2,25.7,0.0,0.0
sans_germe,1.2,25.8,0.0,0.0
sans_germe,1.2,25.900000000000002,0.0,0.0
sans_germe,1.2,26.0,0.0,0.0
sans_germe,1.2,26.1,0.0,0.0
sans_germe,1.2,26.2,0.0,0.0
sans_germe,1.2,26.3,0.0,0.0
sans_germe,1.2,26.400000000000002,0.0,0.0
sans_germe,1.2,26.5,0.0,0.0
sans_germe,1.2,26.6,0.0,0.0
sans_germe,1.2,26.7,0.0,0.0
sans_germe,1.2,26.8,0.0,0.0
sans_germe,1.2,26.900000000000002,0.0,0.0
sans_germe,1.2,27.0,0.0,0.0
sans_germe,1.2,27.1,0.0,0.0
sans_germe,1.2,27.2,0.0,0.0
sans_germe,1.2,27.3,0.0,0.0
sans_germe,1.2,27.400000000000002,0.0,0.0
sans_germe,1.2,27.5,0.0,0.0
sans_germe,1.2,27.6,0.0,0.0
sans_germe,1.2,27.7,0.0,0.0
sans_germe,1.2,27.8,0.0,0.0
sans_germe,1.2,27.900000000000002,0.0,0.0
sans_germe,1.2,28.0,0.0,0.0
sans_germe,1.2,28.1,0.0,0.0
sans_germe,1.2,28.2,0.0,0.0
sans_germe,1.2,28.3,0.0,0.0
sans_germe,1.2,28.400000000000002,0.0,0.0
sans_germe,1.2,28.5,0.0,0.0
sans_germe,1.2,28.6,0.0,0.0
sans_germe,1.2,28.7,0.0,0.0
sans_germe,1.2,28.8,0.0,0.0
sans_germe,1.2,28.900000000000002,0.0,0.0
sans_germe,1.2,29.0,0.0,0.0
sans_germe,1.2,29.1,0.0,0.0
sans_germe,1.2,29.2,0.0,0.0
sans_germe,1.2,29.3,0.0,0.0
sans_germe,1.2,29.400000000000002,0.0,0.0
