germe,alpha,J,temps,n,q,A,Delta_S_interne_sur_kB
alpha_-0.4_J_0.1,-0.4,0.1,0.0,0.0,0.05,0.6,0.005000000000000001
alpha_-0.4_J_0.1,-0.4,0.1,0.1,0.009900663346622351,0.047100522103578624,0.5900993366533777,0.004436918364859397
alpha_-0.4_J_0.1,-0.4,0.1,0.2,0.019605280423838398,0.044413866239010905,0.5803947195761616,0.003945183028593505
alpha_-0.4_J_0.1,-0.4,0.1,0.3,0.029117733207875644,0.041921683361406545,0.5708822667921243,0.003514855071708061
alpha_-0.4_J_0.1,-0.4,0.1,0.4,0.038441826806682115,0.039607425916206064,0.5615581731933179,0.0031374963754155034
alpha_-0.4_J_0.1,-0.4,0.1,0.5,0.04758129098202021,0.037456149221808094,0.5524187090179797,0.00280592622905271
alpha_-0.4_J_0.1,-0.4,0.1,0.6,0.05653978164142124,0.03545433734127577,0.5434602183585787,0.0025140200726179625
alpha_-0.4_J_0.1,-0.4,0.1,0.7000000000000001,0.0653208823005971,0.033589750059200986,0.5346791176994029,0.0022565426180791853
alpha_-0.4_J_0.1,-0.4,0.1,0.8,0.07392810551689434,0.03185128810615936,0.5260718944831057,0.002029009108043137
alpha_-0.4_J_0.1,-0.4,0.1,0.9,0.082364894294364,0.030228874207218176,0.517635105705636,0.0018275696716716406
alpha_-0.4_J_0.1,-0.4,0.1,1.0,0.09063462346100908,0.02871334789083955,0.5093653765389909,0.0016489126942007602
alpha_-0.4_J_0.1,-0.4,0.1,1.1,0.09874060101876077,0.02729637229445574,0.5012593989812392,0.0014901838808750619
alpha_-0.4_J_0.1,-0.4,0.1,1.2,0.1066860694667233,0.025970351454167935,0.49331393053327666,0.0013489183093060052
alpha_-0.4_J_0.1,-0.4,0.1,1.3,0.11447420709821686,0.024728356777299586,0.4855257929017831,0.0012229832578108367
alpha_-0.4_J_0.1,-0.4,0.1,1.4000000000000001,0.12210812927213728,0.023564061574993928,0.47789187072786266,0.0011105299958202107
alpha_-0.4_J_0.1,-0.4,0.1,1.5,0.1295908896591411,0.022471682683364115,0.47040911034085886,0.0010099530452436132
alpha_-0.4_J_0.1,-0.4,0.1,1.6,0.13692548146315456,0.02144592833047104,0.46307451853684545,0.0009198556839114006
alpha_-0.4_J_0.1,-0.4,0.1,1.7,0.14411483861869515,0.020481951516346582,0.45588516138130486,0.0008390206758359441
alpha_-0.4_J_0.1,-0.4,0.1,1.8,0.1511618369644845,0.01957530826744335,0.4488381630355155,0.0007663853875308718
alpha_-0.4_J_0.1,-0.4,0.1,1.9000000000000001,0.15806929539382208,0.018721920207775307,0.4419307046061779,0.0007010205925326108
alpha_-0.4_J_0.1,-0.4,0.1,2.0,0.16483997698218036,0.017918040958679955,0.43516002301781964,0.0006421123835938649
alpha_-0.4_J_0.1,-0.4,0.1,2.1,0.17147659009247163,0.017160225939289345,0.42852340990752835,0.0005889467085749178
alpha_-0.4_J_0.1,-0.4,0.1,2.2,0.17798178945842935,0.016445305191868473,0.4220182105415706,0.0005408961257073923
alpha_-0.4_J_0.1,-0.4,0.1,2.3000000000000003,0.18435817724653705,0.015770358901351752,0.41564182275346295,0.0004974084397548888
alpha_-0.4_J_0.1,-0.4,0.1,2.4,0.19060830409692958,0.015132695317680666,0.40939169590307045,0.0004579969351555087
alpha_-0.4_J_0.1,-0.4,0.1,2.5,0.1967346701436833,0.014529830823755576,0.4032653298563167,0.0004222319675339153
alpha_-0.4_J_0.1,-0.4,0.1,2.6,0.20273972601490284,0.013959471921672573,0.3972602739850971,0.0003897337126639299
alpha_-0.4_J_0.1,-0.4,0.1,2.7,0.20862587381300518,0.013419498936021986,0.39137412618699485,0.00036016590338779043
alpha_-0.4_J_0.1,-0.4,0.1,2.8000000000000003,0.21439546807559257,0.012907951255889812,0.38560453192440736,0.00033323041124885475
alpha_-0.4_J_0.1,-0.4,0.1,2.9,0.22005081671729898,0.01242301395726179,0.379949183282701,0.0003086625515646425
alpha_-0.4_J_0.1,-0.4,0.1,3.0,0.2255941819529868,0.01196300566515419,0.37440581804701323,0.00028622700908902246
alpha_-0.4_J_0.1,-0.4,0.1,3.1,0.2310277812026628,0.011526367530303862,0.3689722187973372,0.0002657142968872863
alpha_-0.4_J_0.1,-0.4,0.1,3.2,0.23635378797847575,0.011111653208916794,0.36364621202152425,0.0002469376740704618
alpha_-0.4_J_0.1,-0.4,0.1,3.3000000000000003,0.2415743327541504,0.010717519746033955,0.35842566724584957,0.00022973045901325548
alpha_-0.4_J_0.1,-0.4,0.1,3.4,0.2466915038172052,0.010342719273729524,0.3533084961827948,0.00021394368395035232
alpha_-0.4_J_0.1,-0.4,0.1,3.5,0.25170734810429524,0.009986091444784358,0.3482926518957047,0.00019944404468719067
alpha_-0.4_J_0.1,-0.4,0.1,3.6,0.2566238720200142,0.009646556530829102,0.34337612797998573,0.00018611210580496318
alpha_-0.4_J_0.1,-0.4,0.1,3.7,0.26144304223948284,0.009323109121358275,0.3385569577605171,0.00017384072737750776
alpha_-0.4_J_0.1,-0.4,0.1,3.8000000000000003,0.26616678649504544,0.009014812366593489,0.33383321350495454,0.00016253368400977379
alpha_-0.4_J_0.1,-0.4,0.1,3.9,0.27079699434738824,0.008720792713020231,0.32920300565261174,0.00015210445108693353
alpha_-0.4_J_0.1,-0.4,0.1,4.0,0.2753355179413892,0.008440235085625363,0.32466448205861076,0.00014247513660124278
alpha_-0.4_J_0.1,-0.4,0.1,4.1,0.27978417274700035,0.008172378475497203,0.3202158272529997,0.00013357553989353998
alpha_-0.4_J_0.1,-0.4,0.1,4.2,0.28414473828546016,0.007916511895583267,0.3158552617145398,0.00012534232118582272
alpha_-0.4_J_0.1,-0.4,0.1,4.3,0.28841895884112556,0.007671970671090537,0.3115810411588744,0.00011771826795614676
alpha_-0.4_J_0.1,-0.4,0.1,4.4,0.29260854415920934,0.007438133034309837,0.30739145584079064,0.00011065164607218251
alpha_-0.4_J_0.1,-0.4,0.1,4.5,0.29671517012970045,0.00721441699659507,0.3032848298702996,0.00010409562520151966
alpha_-0.4_J_0.1,-0.4,0.1,4.6000000000000005,0.30074047945774296,0.007000277472867942,0.299259520542257,9.800776939428476e-05
alpha_-0.4_J_0.1,-0.4,0.1,4.7,0.30468608232073946,0.006795203636384774,0.2953139176792605,9.234958491987372e-05
